State and area,Civilian labor force,,,,Unemployed,,,,,,,
,July,,August,,Number,,,,Percent of labor force,,,
,2024,2025,2024,2025(p),July,,August,,July,,August,
,,,,,2024,2025,2024,2025(p),2024,2025,2024,2025(p)
Albuquerque,"466,175","469,830","463,346","463,476","23,381","23,388","20,124","19,247",5,5,4.3,4.2
Farmington,"49,593","48,823","50,483","49,800","3,089","2,941","2,509","2,334",6.2,6,5,4.7
Las Cruces,"101,717","102,923","101,980","102,291","6,143","6,162","5,091","4,887",6,6,5,4.8
Santa Fe,"75,666","75,747","75,227","74,623","3,634","3,428","3,105","2,796",4.8,4.5,4.1,3.7
New York,"9,976,811","9,940,748","9,909,957","9,911,620","483,061","453,609","474,178","469,800",4.8,4.6,4.8,4.7
Albany-Schenectady-Troy,"465,981","461,810","458,878","458,215","16,972","15,836","16,383","16,725",3.6,3.4,3.6,3.7
Binghamton,"107,362","106,833","106,226","106,061","4,528","4,339","4,354","4,543",4.2,4.1,4.1,4.3
Buffalo-Cheektowaga,"563,276","561,721","557,349","557,462","23,960","22,613","23,268","23,922",4.3,4,4.2,4.3
Elmira,"35,633","35,229","35,330","34,980","1,443","1,314","1,434","1,400",4,3.7,4.1,4
Glens Falls,"63,354","60,638","62,210","60,310","2,115","1,917","1,992","2,055",3.3,3.2,3.2,3.4
Ithaca,"48,742","49,012","48,459","48,703","1,831","1,786","1,815","1,920",3.8,3.6,3.7,3.9
Kingston,"88,582","87,914","87,340","87,104","3,541","3,272","3,359","3,453",4,3.7,3.8,4
Kiryas Joel-Poughkeepsie-Newburgh,"343,846","341,442","338,780","338,284","13,223","12,844","12,842","13,578",3.8,3.8,3.8,4
New York-Newark-Jersey City,"10,362,353","10,326,810","10,303,776","10,292,037","543,174","529,595","525,803","539,508",5.2,5.1,5.1,5.2
Rochester,"521,401","514,742","514,232","510,322","20,578","19,462","19,789","20,580",3.9,3.8,3.8,4
Syracuse,"316,091","316,701","313,512","315,261","12,272","11,829","11,801","12,449",3.9,3.7,3.8,3.9
Utica-Rome,"129,557","127,773","127,895","127,698","5,205","5,005","4,964","5,247",4,3.9,3.9,4.1
Watertown-Fort Drum,"46,786","45,902","45,982","45,532","1,994","1,872","1,872","1,931",4.3,4.1,4.1,4.2
North Carolina,"5,331,001","5,327,448","5,271,638","5,267,317","217,193","202,765","207,241","213,037",4.1,3.8,3.9,4
Asheville,"214,799","211,723","211,987","209,399","6,870","8,142","6,833","8,384",3.2,3.8,3.2,4
Burlington,"87,035","86,928","85,541","85,439","3,661","3,475","3,405","3,541",4.2,4,4,4.1
Charlotte-Concord-Gastonia,"1,503,501","1,516,635","1,480,762","1,493,718","62,071","58,768","59,718","61,302",4.1,3.9,4,4.1
Durham-Chapel Hill,"329,295","329,648","322,704","322,059","12,150","11,477","11,458","12,103",3.7,3.5,3.6,3.8
Fayetteville,"153,763","151,553","152,285","150,056","8,041","7,401","7,604","7,692",5.2,4.9,5,5.1
Goldsboro,"51,208","51,210","50,735","50,775","2,185","1,932","2,085","2,115",4.3,3.8,4.1,4.2
